"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2018","2,581.00","2,685.00","2,685.30","2,580.60","","-3.76%"
"02/07/2018","2,681.70","2,690.90","2,727.70","2,681.30","","-0.50%"
"02/06/2018","2,695.10","2,614.80","2,701.00","2,593.10","","1.74%"
"02/05/2018","2,648.90","2,741.10","2,763.40","2,638.20","","-4.10%"
"02/02/2018","2,762.10","2,808.90","2,808.90","2,760.00","","-2.12%"
"02/01/2018","2,822.00","2,816.40","2,836.00","2,812.70","","-0.06%"
"01/31/2018","2,823.80","2,832.40","2,839.30","2,813.00","","0.05%"
"01/30/2018","2,822.40","2,832.70","2,837.80","2,818.30","","-1.09%"
"01/29/2018","2,853.50","2,867.20","2,870.60","2,851.50","","-0.68%"
"01/26/2018","2,872.90","2,847.50","2,872.90","2,846.20","","1.19%"
"01/25/2018","2,839.20","2,846.20","2,848.60","2,830.90","","0.06%"
"01/24/2018","2,837.50","2,845.40","2,853.00","2,824.80","","-0.06%"
"01/23/2018","2,839.10","2,835.10","2,842.20","2,830.60","","0.22%"
"01/22/2018","2,833.00","2,809.20","2,833.00","2,808.10","","0.81%"
"01/19/2018","2,810.30","2,802.60","2,810.30","2,798.10","","0.44%"
"01/18/2018","2,798.00","2,802.40","2,805.80","2,792.60","","-0.16%"
"01/17/2018","2,802.60","2,785.00","2,807.00","2,778.40","","0.94%"
"01/16/2018","2,776.40","2,799.00","2,807.50","2,768.60","","-0.35%"
"01/12/2018","2,786.20","2,770.20","2,787.80","2,769.60","","0.67%"
"01/11/2018","2,767.60","2,753.00","2,767.60","2,752.80","","0.71%"
"01/10/2018","2,748.20","2,745.60","2,750.80","2,736.10","","-0.11%"
"01/09/2018","2,751.30","2,751.20","2,759.10","2,747.90","","0.13%"
"01/08/2018","2,747.70","2,742.70","2,748.50","2,737.60","","0.16%"
"01/05/2018","2,743.20","2,731.30","2,743.40","2,727.90","","0.70%"
"01/04/2018","2,724.00","2,719.30","2,729.30","2,719.10","","0.40%"
"01/03/2018","2,713.10","2,697.80","2,714.40","2,697.80","","0.64%"
"01/02/2018","2,695.80","2,683.70","2,695.90","2,682.40","","0.83%"
"12/29/2017","2,673.60","2,689.20","2,692.10","2,673.60","","-0.52%"
"12/28/2017","2,687.50","2,686.10","2,687.70","2,682.70","","0.18%"
"12/27/2017","2,682.60","2,682.10","2,685.60","2,678.90","","0.08%"
"12/26/2017","2,680.50","2,679.10","2,682.70","2,678.00","","-0.10%"
"12/22/2017","2,683.30","2,684.20","2,685.30","2,678.10","","-0.05%"
"12/21/2017","2,684.60","2,683.00","2,692.60","2,682.40","","0.20%"
"12/20/2017","2,679.20","2,688.20","2,691.00","2,676.10","","-0.09%"
"12/19/2017","2,681.50","2,692.70","2,694.40","2,680.70","","-0.32%"
"12/18/2017","2,690.20","2,685.90","2,695.00","2,685.90","","0.54%"
"12/15/2017","2,675.80","2,660.60","2,679.60","2,659.10","","0.90%"
"12/14/2017","2,652.00","2,665.90","2,668.10","2,652.00","","-0.41%"
"12/13/2017","2,662.80","2,667.60","2,671.90","2,662.80","","-0.05%"
"12/12/2017","2,664.10","2,661.70","2,669.70","2,659.80","","0.15%"
"12/11/2017","2,660.00","2,652.20","2,660.30","2,651.50","","0.32%"
"12/08/2017","2,651.50","2,646.20","2,651.70","2,644.10","","0.55%"
"12/07/2017","2,637.00","2,628.40","2,641.00","2,626.50","","0.29%"
"12/06/2017","2,629.30","2,626.20","2,634.40","2,624.80","","-0.01%"
"12/05/2017","2,629.60","2,639.80","2,648.70","2,627.70","","-0.37%"
"12/04/2017","2,639.40","2,657.20","2,665.20","2,639.00","","-0.11%"
"12/01/2017","2,642.20","2,645.10","2,650.60","2,605.50","","-0.20%"
"11/30/2017","2,647.60","2,633.90","2,657.70","2,633.90","","0.82%"
"11/29/2017","2,626.10","2,627.80","2,634.90","2,620.30","","-0.03%"
"11/28/2017","2,627.00","2,605.90","2,627.70","2,605.40","","0.98%"
"11/27/2017","2,601.40","2,602.70","2,606.40","2,598.90","","-0.04%"
"11/24/2017","2,602.40","2,600.40","2,604.20","2,600.40","","0.20%"
"11/22/2017","2,597.10","2,600.30","2,600.90","2,595.20","","-0.07%"
"11/21/2017","2,599.00","2,589.20","2,601.20","2,589.20","","0.65%"
"11/20/2017","2,582.10","2,579.50","2,584.60","2,578.20","","0.13%"
"11/17/2017","2,578.80","2,582.90","2,584.00","2,577.60","","-0.26%"
"11/16/2017","2,585.60","2,572.90","2,590.10","2,572.90","","0.82%"
